25566	18	 2500
25580	18	 2292
26214	15	 2464
26229	15	 2259
26549	16	 2632
26562	16	 2413
27228	14	 2764
27242	14	 2534
30089	12	 3144
30104	12	 2883
30928	18	 2153
31044	14	 2381
31128	16	 2267
31665	12	 2709
31791	15	 2123
31883	20	 3564
31896	20	 3268
31909	20	 3070
32451	19	 3548
32466	19	 3253
32481	19	 3056
40910	18	 2061
40992	20	 2938
41040	14	 2279
41128	16	 2170
41660	12	 2593
41670	19	 2925
41777	15	 2032
49049	13	 408
49062	13	 375
49075	13	 353
50910	18	 2000
50992	20	 2850
51040	14	 2211
51660	12	 2515
51670	19	 2838
51777	15	 1971
54385	13	 743
60910	18	 1959
60992	20	 2792
61040	14	 2166
61135	13	 687
61660	12	 2463
61670	19	 2780
61777	15	 1931
70910	18	 1932
70992	20	 2753
71044	14	 2136
71136	13	 650
71660	12	 2429
71670	19	 2741
71777	15	 1904
72596	16	 4914
72609	16	 4566
72623	16	 4334
80913	18	 1914
81040	14	 2116
81777	15	 1886
86870	13	 1334
90910	18	 1902
91040	14	 2102
91136	13	 1236
91777	15	 1874
100910	18	 1894
101040	14	 2093
101136	13	 1171
104764	19	 5689
104779	19	 5343
104793	19	 5113
105855	12	 5679
105870	12	 5320
105884	12	 5080
106500	20	 6110
106513	20	 5730
106526	20	 5477
110913	18	 1888
110992	20	 5308
111044	14	 2087
111136	13	 1127
111660	12	 4920
111670	19	 4959
118550	15	 4087
118564	15	 3843
120910	18	 1884
120992	20	 5195
121040	14	 2083
121136	13	 1098
121660	12	 4814
121670	19	 4857
121777	15	 3681
128612	16	 10524
128625	16	 9746
128638	16	 9227
128652	16	 8881
128665	16	 8650
130910	18	 1882
130992	20	 5120
131040	14	 2080
131660	12	 4743
131670	19	 4789
131777	15	 3573
140910	18	 1880
140992	20	 5070
141040	14	 2078
141660	12	 4696
141670	19	 4743
141777	15	 3501
143760	13	 2826
143774	13	 2634
150914	18	 1879
150992	20	 5037
151040	14	 2077
151136	13	 2506
151660	12	 4664
151670	19	 4713
151777	15	 3453
160910	18	 1878
160992	20	 5015
161040	14	 2076
161136	13	 2420
161660	12	 4643
161670	19	 4693
161777	15	 3421
170910	18	 1878
170992	20	 5000
171040	14	 2076
171136	13	 2363
171660	12	 4629
171670	19	 4679
171777	15	 3399
180910	18	 1878
180992	20	 4990
181040	14	 2076
181136	13	 2325
181660	12	 4620
181670	19	 4670
181777	15	 3385
190910	18	 1878
190992	20	 4983
191040	14	 2076
191136	13	 2300
191660	12	 4614
191670	19	 4664
191777	15	 3375
200910	18	 1878
200992	20	 4979
201040	14	 2076
201136	13	 2283
201660	12	 4610
201670	19	 4660
201777	15	 3369
210915	18	 1878
210992	20	 4976
211040	14	 2076
211136	13	 2272
211432	16	 19008
211446	16	 17764
211459	16	 16934
211472	16	 16381
211486	16	 16012
211499	16	 15766
211513	16	 15602
211526	16	 15493
211540	16	 15420
211660	12	 4607
211670	19	 4657
211777	15	 3365
220910	18	 1878
220992	20	 4974
221040	14	 2076
221660	12	 4605
221670	19	 4655
221777	15	 3362
230910	18	 1878
230992	20	 4973
231040	14	 2076
231660	12	 4604
231670	19	 4654
231777	15	 3360
240910	18	 1878
240992	20	 4972
241040	14	 2076
241660	12	 4603
241670	19	 4653
241777	15	 3359
242542	13	 5142
242555	13	 4833
242568	13	 4626
250910	18	 1878
250992	20	 4971
251040	14	 2076
251136	13	 4489
251660	12	 4602
251670	19	 4653
251777	15	 3358
260910	18	 1878
260992	20	 4971
261040	14	 2076
261136	13	 4397
261660	12	 4602
261670	19	 4653
261777	15	 3357
270910	18	 1878
270992	20	 4971
271040	14	 2076
271136	13	 4336
271660	12	 4602
271670	19	 4653
271781	15	 3357
280910	18	 1878
280992	20	 4971
281040	14	 2076
281136	13	 4295
281660	12	 4602
281670	19	 4653
281777	15	 3357
