25566,2500
25580,2292
26214,2464
26229,2259
26549,2632
26562,2413
27228,2764
27242,2534
30089,3144
30104,2883
30928,2153
31044,2381
31128,2267
31665,2709
31791,2123
31883,3564
31896,3268
31909,3070
32451,3548
32466,3253
32481,3056
40910,2061
40992,2938
41040,2279
41128,2170
41660,2593
41670,2925
41777,2032
49049,408
49062,375
49075,353
50910,2000
50992,2850
51040,2211
51660,2515
51670,2838
51777,1971
54385,743
60910,1959
60992,2792
61040,2166
61135,687
61660,2463
61670,2780
61777,1931
70910,1932
70992,2753
71044,2136
71136,650
71660,2429
71670,2741
71777,1904
72596,4914
72609,4566
72623,4334
80913,1914
81040,2116
81777,1886
86870,1334
90910,1902
91040,2102
91136,1236
91777, 1874START
100910,1894
101040,2093
101136,1171
104764,5689
104779,5343
104793,5113
105855,5679
105870,5320
105884,5080
106500,6110
106513,5730
106526,5477
110913,1888
110992,5308
111044,2087
111136,1127
111660,4920
111670,4959
118550,4087
118564,3843
120910,1884
120992,5195
121040,2083
121136,1098
121660,4814
121670,4857
121777,3681
128612,10524
128625,9746
128638,9227
128652,8881
128665,8650
130910,1882
130992,5120
131040,2080
131660,4743
131670,4789
131777,3573
140910,1880
140992,5070
141040,2078
141660,4696
141670,4743
141777,3501
143760,2826
143774,2634
150914,1879
150992,5037
151040,2077
151136,2506
151660,4664
151670,4713
151777,3453
160910,1878
160992,5015
161040,2076
161136,2420
161660,4643
161670,4693
161777,3421
170910,1878
170992,5000
171040,2076
171136,2363
171660,4629
171670,4679
171777,3399
180910,1878
180992,4990
181040,2076
181136,2325
181660,4620
181670,4670
181777,3385
190910,1878
190992,4983
191040,2076
191136,2300
191660,4614
191670,4664
191777,3375
200910,1878
200992,4979
201040,2076
201136,2283
201660,4610
201670,4660
201777,3369
210915,1878
210992,4976
211040,2076
211136,2272
211432,19008
211446,17764
211459,16934
211472,16381
211486,16012
211499,15766
211513,15602
211526,15493
211540,15420
211660,4607
211670,4657
211777,3365
220910,1878
220992,4974
221040,2076
221660,4605
221670,4655
221777,3362
230910,1878
230992,4973
231040,2076
231660,4604
231670,4654
231777,3360
240910,1878
240992,4972
241040,2076
241660,4603
241670,4653
241777,3359
242542,5142
242555,4833
242568,4626
250910,1878
250992,4971
251040,2076
251136,4489
251660,4602
251670,4653
251777,3358
260910,1878
260992,4971
261040,2076
261136,4397
261660,4602
261670,4653
261777,3357
270910,1878
270992,4971
271040,2076
271136,4336
271660,4602
271670,4653
271781,3357
280910,1878
280992,4971
281040,2076
281136,4295
281660,4602
281670,4653
281777,3357
290910,1878
290992,4971
291040,2076
291136,4268
291660,4602
291670,4653
291777,3357
300910,1878
300992,4971
301044,2076
301136,4250
301660,4602
301670,4653
301777,3357
310910,1878
310992,4971
311040,2076
311136,4238
311660,4602
311670,4653
311777,3357
320910,1878
320992,4971
321040,2076
321136,4230
321660,4602
321670,4653
321777,3357
330910,1878
330992,4971
331040,2076
331136,4225
331660,4602
331670,4653
331777,3357
340910,1878
340992,4971
341040,2076
341136,4221
341660,4602
341670,4653
341777,3357
350910,1878
350992,4971
351040,2076
351136,4219
351660,4602
351670,4653
351777,3357
360910,1878
360992,4971
361040,2076
